,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_name
909,0.6256,0.7863,-5.5266,0.20282,0.11356999999999999,0.013855000000000001,0.18658999999999998,0.4949,102.10170000000001,01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco
790,0.6504,0.7301,-6.6045,0.26433,0.048242,2.1479999999999998e-05,0.18911,0.4365,104.0566,030sRm1rnXI9MeQ23pdax8,Boyz N Da Hood
1919,0.7589,0.5823,-8.223,0.18342,0.13919399999999998,0.00032072000000000003,0.17623,0.4465,108.4829,0399oiMcmbOzzsYQDNYqxn,Problem
999,0.7376,0.7087,-5.6716,0.24522,0.098069,7.306999999999999e-05,0.18652,0.611,135.2677,07VmOvmuBp9G0gb8BTrpn0,Mike Jones
200,0.6146,0.6283000000000001,-6.8526,0.1682,0.194956,0.019585196,0.22117,0.6041000000000001,121.3096,07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid
1389,0.8406,0.6985,-6.539499999999999,0.22037,0.09520100000000001,9.272999999999999e-05,0.15960000000000002,0.5673999999999999,123.98389999999999,08Ld63UgKrJ0nZnCkzHtzc,Project Pat
90,0.7468,0.5631999999999999,-6.7448999999999995,0.19085999999999997,0.13343,7.1767e-05,0.20032,0.39180000000000004,129.01479999999998,0A0FS04o6zMoto8OKPsDwY,YG
1609,0.7417,0.6799999999999999,-6.09,0.22490000000000002,0.1197992,5.17e-06,0.19102,0.521,141.22830000000002,0CKa42Jqrc9fSFbDjePaXP,Big K.R.I.T.
440,0.6324,0.7363,-5.3988,0.27259,0.088109,4.15e-05,0.31386,0.33784000000000003,101.4743,0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle
1549,0.7333999999999999,0.5841000000000001,-6.8884,0.07108,0.18258000000000002,1.24e-06,0.13923000000000002,0.4929,107.25019999999999,0FtsMKmZEq8fBWqdSOWtqp,03 Greedo
590,0.7363999999999999,0.7168,-6.9474,0.24438,0.052779,0.04701034,0.17961,0.6464000000000001,112.2443,0I5HubncQ8E1MFZOlPDY4J,Trinidad James
330,0.6485000000000001,0.6476,-8.064499999999999,0.1641,0.243269,0.007828656,0.22671000000000002,0.5023,137.4238,0JdGPxHeRGfOyZg3EHwp2g,Alex Wiley
1229,0.6968,0.597,-9.5136,0.21756999999999999,0.43170000000000003,0.001663038,0.27260999999999996,0.37679999999999997,116.60119999999999,0JuDxOwz1e3Wx05t8e3AT3,Sylvan LaCue
510,0.7222999999999999,0.6467,-5.5485999999999995,0.13996,0.1498262,0.016191965,0.21161,0.27809999999999996,135.3942,0NWbwDZY1VkRqFafuQm6wk,Mike WiLL Made-It
1459,0.6336,0.7699,-4.6431,0.2783,0.164429,0.001637763,0.25833,0.6308,116.51410000000001,0ONHkAv9pCAFxb0zJwDNTy,Pusha T
1629,0.5937,0.7621,-4.7905999999999995,0.2851,0.1106926,0.000347494,0.3661,0.6757,102.74000000000001,0P8YNJXX7QeQ8iZIUCXJgi,The Diplomats
110,0.6147,0.6448,-4.9031,0.13878,0.0588066,2.55e-06,0.2064,0.39814,122.00330000000001,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
1449,0.622,0.6311,-6.388,0.25356,0.100756,0.0,0.18301,0.47119999999999995,125.1596,0T5OJgMVjKIX3b3W3ekqOl,Rocko
450,0.5549999999999999,0.6451,-9.0633,0.24513,0.32039,0.009817509999999998,0.2881,0.55,105.3203,0TkqXdyWLsssJH7okthMPQ,Jay Electronica
580,0.7592,0.5801999999999999,-7.7931,0.27605,0.0567749,0.0,0.13682,0.5231,104.2055,0VKTLKamj4IH8OfQbUL0kq,Dem Franchize Boyz
1889,0.7594000000000001,0.6507,-5.584300000000001,0.19013,0.13091,1.5815e-05,0.16665000000000002,0.46319999999999995,136.6981,0VRj0yCOv2FXJNP47XQnx5,Quavo
100,0.7594000000000001,0.67,-6.2535,0.24272,0.09412000000000001,4.1200000000000005e-05,0.20863,0.5393,137.6254,0WOxhx4hikIsyF3CRPLC8W,Famous Dex
480,0.722,0.49749999999999994,-7.928700000000001,0.22747,0.21134,6.5287e-05,0.13744,0.45249000000000006,127.51910000000001,0XIKGBo9PnK1ApI5tZA60d,DaniLeigh
140,0.6149,0.6148,-8.551,0.221,0.33563,6.6275e-05,0.17402,0.5404,94.2184,0Y4inQK6OespitzD6ijMwb,Freddie Gibbs
869,0.6952,0.6797,-7.0593,0.16088,0.21861999999999998,0.0,0.17439,0.6039,127.82739999999998,0YWxKQj2Go9CGHCp77UOyy,Fabolous
979,0.6628000000000001,0.5648,-8.9046,0.13512,0.05107199999999999,0.00034685,0.2752,0.3181,133.9859,0bZ9jANLkwEFVcSnHnwrpb,UnoTheActivist
420,0.6899,0.7391,-6.0268999999999995,0.14718,0.0502649,3.96e-07,0.32511,0.4692,136.0363,0bfX8pF8kuHNCs57Ms4jZb,Roscoe Dash
830,0.7511,0.6172000000000001,-5.9575000000000005,0.15138000000000001,0.115727,0.00019108599999999998,0.29713,0.40234000000000003,115.3951,0c173mlxpT3dSFRgMO8XPh,Big Sean
1909,0.5622,0.41559999999999997,-9.3417,0.11198999999999999,0.5043,0.0009816719999999998,0.17646,0.3274,111.9929,0f2YkMXwFNJNSX7MymevKE,Kaash Paige
1069,0.6798,0.6219,-6.7801,0.07273,0.26610900000000004,0.093696243,0.22254000000000002,0.5176000000000001,125.0165,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi
1039,0.634,0.7019,-7.2361,0.27702,0.17557,0.00041220100000000006,0.19255,0.5033,120.65650000000001,0g9vAlRPK9Gt3FKCekk4TW,Ab-Soul
1599,0.7424000000000001,0.6688,-6.2428,0.30871,0.15192,2.68e-07,0.18703,0.5193,115.5694,0huGjMyP507tBCARyzSkrv,Cordae
800,0.6955,0.5909,-6.1989,0.1774,0.196722,0.010117356000000001,0.13842000000000002,0.2898,116.92060000000001,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin
1249,0.7209,0.6513,-5.4485,0.24409,0.0950796,0.00017280300000000002,0.17696,0.3949,127.0036,0st5vgzw9XkH5ALJiUM1lE,Slim Thug
1869,0.7767000000000001,0.5237999999999999,-8.8748,0.16385,0.094713,0.00018894000000000002,0.22016999999999998,0.4203,126.1925,0t5qZrvVCo9YIUT87SQrTn,OJ Da Juiceman
879,0.575,0.7594000000000001,-6.5735,0.3325,0.07127,0.000147497,0.16907,0.5988,110.5269,0tCtGc5vt29zFZp6KXzN50,Beanie Sigel
490,0.6011,0.6131,-7.5379000000000005,0.32799999999999996,0.42382,2.5059999999999997e-05,0.22193999999999997,0.3968,100.8648,0tPjSrb43a58uznKru1k2P,A$AP Twelvyy
1209,0.6617,0.6988,-5.6171999999999995,0.13923000000000002,0.164673,1.303e-06,0.21122000000000002,0.5483,141.9635,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa
1109,0.6847,0.6657,-7.1487,0.13229,0.109986,0.073739508,0.17266,0.42259,129.4839,13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky
1539,0.7735000000000001,0.6295,-6.531700000000001,0.19677,0.05742499999999999,4.6423e-05,0.26199,0.45919999999999994,141.203,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane
1299,0.6916,0.5696,-6.4616,0.15092999999999998,0.07256456,5.19e-05,0.19993,0.29947,134.256,15iVAtD3s3FsQR4w1v6M0P,Chief Keef
260,0.7142,0.6515,-5.8722,0.2306,0.03894,8.87e-05,0.25034,0.43790000000000007,116.3903,17lzZA2AlOHwCwFALHttmp,2 Chainz
160,0.6395000000000001,0.7125999999999999,-6.0253,0.24706999999999998,0.06709200000000001,3.92e-06,0.26925,0.4227,123.2779,18HVMQsV3tINaTyzT5UIjH,CyHi
610,0.5942999999999999,0.62,-6.848000000000001,0.15691,0.075452,6.640000000000001e-07,0.26221,0.391,130.8251,19Fi1Rj7kk8kyiwxpXy3yM,August Alsina
1409,0.7134,0.6446,-7.8589,0.21732,0.144687,0.00431155,0.27991,0.5236,98.9598,1LrWZc2qPhRCHyr6XtpBxq,Dizzy Wright
