track_id,duration,name,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,album_release_date,artist_id,artist_name
4X0gLfG9AtY5Kja1Ejbz51,214000,No Problem,54,0.861,0.722,-7.151,0.213,0.0447,0.0,0.146,0.113,85.992,2EEwPHJTJ8V5feGXvjTM5l,The King Of Crunk & BME Recordings Present: Lil Scrappy,2004-02-24,5einkgXXrjhfYCyac1FANB,Lil Scrappy
6YTp4sUEi3oWNToQvOjke6,233706,Money in the Bank (feat. Young Buck) - Remix,53,0.88,0.693,-5.201,0.332,0.0599,0.0,0.248,0.767,75.603,3pdW7R9HvpOwSAm9lAeIOZ,Bred 2 Die Born 2 Live (Explicit Version),2006,5einkgXXrjhfYCyac1FANB,Lil Scrappy
1hAVX8UrpMZ11HNVM4gfkO,236653,Head Bussa (feat. Lil' Jon),40,0.819,0.844,-5.659,0.0896,0.00164,0.0,0.048,0.605,78.03,2EEwPHJTJ8V5feGXvjTM5l,The King Of Crunk & BME Recordings Present: Lil Scrappy,2004-02-24,5einkgXXrjhfYCyac1FANB,Lil Scrappy
44K6XKn212DOseP82tWXPS,276013,Oh Yeah (Work) (feat. Sean P. of YoungBloodZ and E-40),42,0.511,0.686,-4.924,0.447,0.125,0.0,0.698,0.518,84.885,3pdW7R9HvpOwSAm9lAeIOZ,Bred 2 Die Born 2 Live (Explicit Version),2006,5einkgXXrjhfYCyac1FANB,Lil Scrappy
79xRXYFkZolMhk9lIH5Pkp,177800,I'm Back,41,0.539,0.537,-4.314,0.424,0.0436,0.0,0.311,0.314,87.345,3pdW7R9HvpOwSAm9lAeIOZ,Bred 2 Die Born 2 Live (Explicit Version),2006,5einkgXXrjhfYCyac1FANB,Lil Scrappy
4ubprxt14HoeppCGViXXfN,254840,Livin' in the Projects,40,0.807,0.676,-3.682,0.219,0.0517,0.000464,0.248,0.661,79.989,3pdW7R9HvpOwSAm9lAeIOZ,Bred 2 Die Born 2 Live (Explicit Version),2006,5einkgXXrjhfYCyac1FANB,Lil Scrappy
0t3rKCrGu0hCmVrzeCgphB,259813,Gangsta Gangsta (feat. Lil Jon),38,0.757,0.839,-3.461,0.295,0.107,0.0,0.402,0.522,86.0,3pdW7R9HvpOwSAm9lAeIOZ,Bred 2 Die Born 2 Live (Explicit Version),2006,5einkgXXrjhfYCyac1FANB,Lil Scrappy
2TryJNR0klZSQXd4kGHuJM,252493,Southside,37,0.876,0.631,-7.877,0.296,0.0502,0.0,0.339,0.605,86.01,6liJnEzquXIyGwrQ1MnmF4,Coach Carter Soundtrack,2005-01-11,5einkgXXrjhfYCyac1FANB,Lil Scrappy
0cGwhSG4BQYk7ojPqAp2Fh,254239,No Love,33,0.725,0.672,-4.242,0.456,0.369,0.0,0.286,0.804,71.374,2iq1aamDOZe5eZAdiY7FH9,The Grustle,2012-06-26,5einkgXXrjhfYCyac1FANB,Lil Scrappy
2MRDwNq8OCU839ojMotjdT,205040,What You Gon Do Remix,30,0.81,0.517,-10.899,0.458,0.00918,0.0,0.31,0.328,150.132,0jjUV8ogFnORTooUckjKj9,Gangsta Grillz Legends Series Unloaded,2012-02-27,5einkgXXrjhfYCyac1FANB,Lil Scrappy
4YAtIop3U0HsJ7jE94BCmX,293720,All The Way Turnt Up,54,0.512,0.965,-2.862,0.0842,0.000889,0.0,0.264,0.743,132.007,2w1AsZdhx7PSXWwTXVv1GK,Ready Set Go!,2010-01-01,0bfX8pF8kuHNCs57Ms4jZb,Roscoe Dash
0cvH0ykBlhmbGtc5tKWSr1,205560,Good Good Night,29,0.646,0.962,-3.876,0.295,0.117,0.0,0.317,0.857,160.102,5jfLynEW1OWcfqi08yMddv,J.U.I.C.E. EP (Explicit Version),2011-01-01,0bfX8pF8kuHNCs57Ms4jZb,Roscoe Dash
0kivcQHFXyVtOgyN0ByRJS,173635,My girl nice,26,0.657,0.858,-6.489,0.0414,0.162,0.0,0.863,0.494,144.001,40U5M4hrtsELliDzlDQDiQ,Fake I.D Vol. 3,2011-05-06,0bfX8pF8kuHNCs57Ms4jZb,Roscoe Dash
1IvxRFXB6PCjAM4o5JiXzd,189293,Awesome,13,0.775,0.812,-4.64,0.0401,0.00132,0.0,0.252,0.432,140.041,5jfLynEW1OWcfqi08yMddv,J.U.I.C.E. EP (Explicit Version),2011-01-01,0bfX8pF8kuHNCs57Ms4jZb,Roscoe Dash
7t34dtoX8IyWZSwPolbDF2,241554,Do your dance,24,0.741,0.507,-8.532,0.0514,0.00158,0.0,0.449,0.238,135.25,40U5M4hrtsELliDzlDQDiQ,Fake I.D Vol. 3,2011-05-06,0bfX8pF8kuHNCs57Ms4jZb,Roscoe Dash
3L3aaEBWhLyA439bAwM6nc,284560,Sidity,8,0.573,0.748,-5.351,0.108,0.0236,0.0,0.104,0.213,152.021,5jfLynEW1OWcfqi08yMddv,J.U.I.C.E. EP (Explicit Version),2011-01-01,0bfX8pF8kuHNCs57Ms4jZb,Roscoe Dash
